cup,tabella,codice_intervento,descrizione,programma,importo_mln,documento,pagina
J17E91000000051,C,,Miglioramenti infrastr. Man.Eff.- MI,,21.74,cdp2017,176
J17E91000000061,C,,Miglioramenti infrastrutturali M.E.GE,,7.25,cdp2017,176
J17E91000000071,C,,Miglioramenti infrastrutturali M.E. AN,,0.84,cdp2017,176
J17E91000000081,C,,Miglioramenti infrastrutturali M.E.BO,,3.65,cdp2017,176
J17E91000000091,C,,Miglioram. infrastrutturali M.E.- R.C.,,3.85,cdp2017,176
J17E91000000101,C,,Miglioramenti infrastrutturali M.E.- TO,,2.19,cdp2017,176
J17E91000000111,C,,Manutenzione Straordinaria cicli fino al 2011,,-0.0,agg2025,130
J17E91000000151,C,,Miglioramenti infrastrutturali M.E.-VR,,1.29,cdp2017,176
J17E91000000191,C,,Miglioramenti infrastrutturali M.E. -RM,,1.48,cdp2017,176
J17E91000000211,C,,Progettazioni sviluppi a completamento - Napoli,,0.02,cdp2017,181
J17E91000000221,C,,Miglioramento infrastrutturale Provincia di Bolzano,,61.82,cdp2017,180
